sentence,classification,prev2,prev1,next1,next2
You've heard the reading and it's out of the bill.,b,"And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.,Is there any discussion?,"Seeing none, the bill is now ready for final action."
Is there any discussion?,i,And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City.,You've heard the reading and it's out of the bill.,"Seeing none, the bill is now ready for final action.",All in favor of the passage of the bill vote: aye.
"Seeing none, the bill is now ready for final action.",i,You've heard the reading and it's out of the bill.,Is there any discussion?,All in favor of the passage of the bill vote: aye.,Rename is called.
All in favor of the passage of the bill vote: aye.,i,Is there any discussion?,"Seeing none, the bill is now ready for final action.",Rename is called.,Those opposed will vote no.
Rename is called.,i,"Seeing none, the bill is now ready for final action.",All in favor of the passage of the bill vote: aye.,Those opposed will vote no.,Will the clerk please take the roll?
Those opposed will vote no.,i,All in favor of the passage of the bill vote: aye.,Rename is called.,Will the clerk please take the roll?,"Mr Sharlin, Aye Mr Coghill."
Will the clerk please take the roll?,i,Rename is called.,Those opposed will vote no.,"Mr Sharlin, Aye Mr Coghill.",Aye Ms Gross.
"Mr Sharlin, Aye Mr Coghill.",i,Those opposed will vote no.,Will the clerk please take the roll?,Aye Ms Gross.,Aye Mr Mosley.
Aye Ms Gross.,i,Will the clerk please take the roll?,"Mr Sharlin, Aye Mr Coghill.",Aye Mr Mosley.,Aye Mrs Strasburger.
Aye Mr Mosley.,i,"Mr Sharlin, Aye Mr Coghill.",Aye Ms Gross.,Aye Mrs Strasburger.,"Aye Ms Warwick, Aye Mr Wilson."
Aye Mrs Strasburger.,i,Aye Ms Gross.,Aye Mr Mosley.,"Aye Ms Warwick, Aye Mr Wilson.","Aye Mr LaValle-President, Aye Eight ayes."
"Aye Ms Warwick, Aye Mr Wilson.",i,Aye Mr Mosley.,Aye Mrs Strasburger.,"Aye Mr LaValle-President, Aye Eight ayes.",The bill has received the required number of votes.
"Aye Mr LaValle-President, Aye Eight ayes.",i,Aye Mrs Strasburger.,"Aye Ms Warwick, Aye Mr Wilson.",The bill has received the required number of votes.,It is passed.
The bill has received the required number of votes.,i,"Aye Ms Warwick, Aye Mr Wilson.","Aye Mr LaValle-President, Aye Eight ayes.",It is passed.,"finally, That takes us to motions and resolutions."
It is passed.,i,"Aye Mr LaValle-President, Aye Eight ayes.",The bill has received the required number of votes.,"finally, That takes us to motions and resolutions.",Is there anything for members?
"finally, That takes us to motions and resolutions.",b,The bill has received the required number of votes.,It is passed.,Is there anything for members?,"Councilwoman Gross, and I saw Councilman Mosley as well."
Is there anything for members?,b,It is passed.,"finally, That takes us to motions and resolutions.","Councilwoman Gross, and I saw Councilman Mosley as well.","I'm sorry, Councilwoman Strasburger."
"Councilwoman Gross, and I saw Councilman Mosley as well.",b,"finally, That takes us to motions and resolutions.",Is there anything for members?,"I'm sorry, Councilwoman Strasburger.","Thank you, It's been a long morning."
"I'm sorry, Councilwoman Strasburger.",i,Is there anything for members?,"Councilwoman Gross, and I saw Councilman Mosley as well.","Thank you, It's been a long morning.",I'm sorry.
"Thank you, It's been a long morning.",i,"Councilwoman Gross, and I saw Councilman Mosley as well.","I'm sorry, Councilwoman Strasburger.",I'm sorry.,I understand It's been a long morning so far.
I'm sorry.,i,"I'm sorry, Councilwoman Strasburger.","Thank you, It's been a long morning.",I understand It's been a long morning so far.,I would like to make a motion to call for a post agenda on the Oakland bid.
I understand It's been a long morning so far.,i,"Thank you, It's been a long morning.",I'm sorry.,I would like to make a motion to call for a post agenda on the Oakland bid.,O bid.
I would like to make a motion to call for a post agenda on the Oakland bid.,b,I'm sorry.,I understand It's been a long morning so far.,O bid.,"Okay, Is there a second Second?"
O bid.,i,I understand It's been a long morning so far.,I would like to make a motion to call for a post agenda on the Oakland bid.,"Okay, Is there a second Second?",All in favor?
"Okay, Is there a second Second?",i,I would like to make a motion to call for a post agenda on the Oakland bid.,O bid.,All in favor?,"say aye, Aye, We will work with you to get that scheduled, Councilman Mosley."
All in favor?,i,O bid.,"Okay, Is there a second Second?","say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.","Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey."
"say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.",i,"Okay, Is there a second Second?",All in favor?,"Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey.","And you know, kudos to Dr Anthony Williams for the great job he does running the school."
"Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey.",b,All in favor?,"say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.","And you know, kudos to Dr Anthony Williams for the great job he does running the school.","And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career."
"And you know, kudos to Dr Anthony Williams for the great job he does running the school.",i,"say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.","Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey.","And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career.",I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.
"And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career.",i,"Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey.","And you know, kudos to Dr Anthony Williams for the great job he does running the school.",I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.,"as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them."
I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.,i,"And you know, kudos to Dr Anthony Williams for the great job he does running the school.","And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career.","as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them.","Okay, So kudos, All right, We've had two championships in two weeks."
"as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them.",i,"And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career.",I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.,"Okay, So kudos, All right, We've had two championships in two weeks.",Congratulations.
"Okay, So kudos, All right, We've had two championships in two weeks.",i,I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale.,"as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them.",Congratulations.,Anything else for members If not?
Congratulations.,i,"as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them.","Okay, So kudos, All right, We've had two championships in two weeks.",Anything else for members If not?,"we did read, receive and file the annual report on the affordable housing bond that we took out."
Anything else for members If not?,b,"Okay, So kudos, All right, We've had two championships in two weeks.",Congratulations.,"we did read, receive and file the annual report on the affordable housing bond that we took out.","That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed."
"we did read, receive and file the annual report on the affordable housing bond that we took out.",b,Congratulations.,Anything else for members If not?,"That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed.",so someone would offer up a motion to hold a post agenda on the affordable housing bond.
"That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed.",b,Anything else for members If not?,"we did read, receive and file the annual report on the affordable housing bond that we took out.",so someone would offer up a motion to hold a post agenda on the affordable housing bond.,so moved.
so someone would offer up a motion to hold a post agenda on the affordable housing bond.,b,"we did read, receive and file the annual report on the affordable housing bond that we took out.","That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed.",so moved.,"second, all those in favor say aye, aye, can you oppose?"
so moved.,i,"That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed.",so someone would offer up a motion to hold a post agenda on the affordable housing bond.,"second, all those in favor say aye, aye, can you oppose?",we'll work to get that scheduled as well.
"second, all those in favor say aye, aye, can you oppose?",i,so someone would offer up a motion to hold a post agenda on the affordable housing bond.,so moved.,we'll work to get that scheduled as well.,that takes us to meeting announcements this afternoon at one o'clock.
we'll work to get that scheduled as well.,i,so moved.,"second, all those in favor say aye, aye, can you oppose?",that takes us to meeting announcements this afternoon at one o'clock.,council holding executive section on bill 1687 as it relates to ongoing litigation matters.
that takes us to meeting announcements this afternoon at one o'clock.,b,"second, all those in favor say aye, aye, can you oppose?",we'll work to get that scheduled as well.,council holding executive section on bill 1687 as it relates to ongoing litigation matters.,"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority."
council holding executive section on bill 1687 as it relates to ongoing litigation matters.,b,we'll work to get that scheduled as well.,that takes us to meeting announcements this afternoon at one o'clock.,"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority.","tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am."
"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority.",i,that takes us to meeting announcements this afternoon at one o'clock.,council holding executive section on bill 1687 as it relates to ongoing litigation matters.,"tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am.",speaker registration will close at 9 am wednesday morning.
"tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am.",b,council holding executive section on bill 1687 as it relates to ongoing litigation matters.,"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority.",speaker registration will close at 9 am wednesday morning.,"to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline."
speaker registration will close at 9 am wednesday morning.,i,"also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority.","tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am.","to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline.",you may also call the clerk's office at 412-255-2100.
"to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline.",i,"tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am.",speaker registration will close at 9 am wednesday morning.,you may also call the clerk's office at 412-255-2100.,"and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh."
you may also call the clerk's office at 412-255-2100.,i,speaker registration will close at 9 am wednesday morning.,"to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline.","and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh.","thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process."
"and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh.",b,"to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline.",you may also call the clerk's office at 412-255-2100.,"thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process.","everyone- no, yeah, everyone's- councilman's first- was absent."
"thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process.",i,you may also call the clerk's office at 412-255-2100.,"and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh.","everyone- no, yeah, everyone's- councilman's first- was absent.","so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting."
"everyone- no, yeah, everyone's- councilman's first- was absent.",i,"and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh.","thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process.","so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting.",so move second.
"so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting.",i,"thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process.","everyone- no, yeah, everyone's- councilman's first- was absent.",so move second.,"all those in favor say aye, aye, we are adjourned."
so move second.,i,"everyone- no, yeah, everyone's- councilman's first- was absent.","so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting.","all those in favor say aye, aye, we are adjourned.","okay, we'll note that as the committee is adjourned, we are deferring to an."
"all those in favor say aye, aye, we are adjourned.",i,"so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting.",so move second.,"okay, we'll note that as the committee is adjourned, we are deferring to an.",following a motion by the senator chairs the everyday vote.
"okay, we'll note that as the committee is adjourned, we are deferring to an.",b,so move second.,"all those in favor say aye, aye, we are adjourned.",following a motion by the senator chairs the everyday vote.,infection prevention policy up in sürplayingiam.
following a motion by the senator chairs the everyday vote.,b,"all those in favor say aye, aye, we are adjourned.","okay, we'll note that as the committee is adjourned, we are deferring to an.",infection prevention policy up in sürplayingiam.,Thank you.
infection prevention policy up in sürplayingiam.,b,"okay, we'll note that as the committee is adjourned, we are deferring to an.",following a motion by the senator chairs the everyday vote.,Thank you.,
Thank you.,i,following a motion by the senator chairs the everyday vote.,infection prevention policy up in sürplayingiam.,,
